product_id,nombre,fecha_venta,cantidad_vendida,stock_en_momento
101,Leche Entera 1L,2024-03-05,9,500
102,Arroz Blanco 1kg,2024-03-05,10,1200
103,Aceite Vegetal 900ml,2024-03-05,8,300
104,Pasta Penne 500g,2024-03-05,11,450
105,Café Molido 250g,2024-03-05,9,200
106,Detergente Líquido 3L,2024-03-05,12,150
107,Atún en Conserva 140g,2024-03-05,2,800
108,Huevos (Docena),2024-03-05,10,100
109,Harina de Trigo 1kg,2024-03-05,5,600
110,Papel Higiénico 4u,2024-03-05,14,400
101,Leche Entera 1L,2024-03-06,9,496
102,Arroz Blanco 1kg,2024-03-06,11,1195
103,Aceite Vegetal 900ml,2024-03-06,7,297
104,Pasta Penne 500g,2024-03-06,11,444
105,Café Molido 250g,2024-03-06,6,196
106,Detergente Líquido 3L,2024-03-06,15,143
107,Atún en Conserva 140g,2024-03-06,5,803
108,Huevos (Docena),2024-03-06,12,95
109,Harina de Trigo 1kg,2024-03-06,18,600
110,Papel Higiénico 4u,2024-03-06,13,391
101,Leche Entera 1L,2024-03-07,9,492
102,Arroz Blanco 1kg,2024-03-07,11,1189
103,Aceite Vegetal 900ml,2024-03-07,7,295
104,Pasta Penne 500g,2024-03-07,14,438
105,Café Molido 250g,2024-03-07,8,195
106,Detergente Líquido 3L,2024-03-07,14,133
107,Atún en Conserva 140g,2024-03-07,11,803
108,Huevos (Docena),2024-03-07,11,88
109,Harina de Trigo 1kg,2024-03-07,6,587
110,Papel Higiénico 4u,2024-03-07,15,383
101,Leche Entera 1L,2024-03-08,13,488
102,Arroz Blanco 1kg,2024-03-08,12,1183
103,Aceite Vegetal 900ml,2024-03-08,8,293
104,Pasta Penne 500g,2024-03-08,10,429
105,Café Molido 250g,2024-03-08,13,192
106,Detergente Líquido 3L,2024-03-08,11,124
107,Atún en Conserva 140g,2024-03-08,10,797
108,Huevos (Docena),2024-03-08,8,82
109,Harina de Trigo 1kg,2024-03-08,10,586
110,Papel Higiénico 4u,2024-03-08,12,373
101,Leche Entera 1L,2024-03-09,10,480
102,Arroz Blanco 1kg,2024-03-09,12,1176
103,Aceite Vegetal 900ml,2024-03-09,12,290
104,Pasta Penne 500g,2024-03-09,19,424
105,Café Molido 250g,2024-03-09,14,184
106,Detergente Líquido 3L,2024-03-09,15,118
107,Atún en Conserva 140g,2024-03-09,13,792
108,Huevos (Docena),2024-03-09,19,79
109,Harina de Trigo 1kg,2024-03-09,9,581
110,Papel Higiénico 4u,2024-03-09,11,366
101,Leche Entera 1L,2024-03-10,16,475
102,Arroz Blanco 1kg,2024-03-10,14,1169
103,Aceite Vegetal 900ml,2024-03-10,9,283
104,Pasta Penne 500g,2024-03-10,14,410
105,Café Molido 250g,2024-03-10,14,175
106,Detergente Líquido 3L,2024-03-10,8,108
107,Atún en Conserva 140g,2024-03-10,11,784
108,Huevos (Docena),2024-03-10,11,65
109,Harina de Trigo 1kg,2024-03-10,15,577
110,Papel Higiénico 4u,2024-03-10,12,360
101,Leche Entera 1L,2024-03-11,7,464
102,Arroz Blanco 1kg,2024-03-11,14,1160
103,Aceite Vegetal 900ml,2024-03-11,8,279
104,Pasta Penne 500g,2024-03-11,15,401
105,Café Molido 250g,2024-03-11,10,166
106,Detergente Líquido 3L,2024-03-11,8,105
107,Atún en Conserva 140g,2024-03-11,9,778
108,Huevos (Docena),2024-03-11,14,59
109,Harina de Trigo 1kg,2024-03-11,6,567
110,Papel Higiénico 4u,2024-03-11,9,353
101,Leche Entera 1L,2024-03-12,9,462
102,Arroz Blanco 1kg,2024-03-12,8,1151
103,Aceite Vegetal 900ml,2024-03-12,12,276
104,Pasta Penne 500g,2024-03-12,8,391
105,Café Molido 250g,2024-03-12,9,161
106,Detergente Líquido 3L,2024-03-12,12,102
107,Atún en Conserva 140g,2024-03-12,6,774
108,Huevos (Docena),2024-03-12,13,50
109,Harina de Trigo 1kg,2024-03-12,15,566
110,Papel Higiénico 4u,2024-03-12,9,349
101,Leche Entera 1L,2024-03-13,8,458
102,Arroz Blanco 1kg,2024-03-13,17,1148
103,Aceite Vegetal 900ml,2024-03-13,13,269
104,Pasta Penne 500g,2024-03-13,12,388
105,Café Molido 250g,2024-03-13,9,157
106,Detergente Líquido 3L,2024-03-13,10,95
107,Atún en Conserva 140g,2024-03-13,13,773
108,Huevos (Docena),2024-03-13,2,42
109,Harina de Trigo 1kg,2024-03-13,11,556
110,Papel Higiénico 4u,2024-03-13,9,345
101,Leche Entera 1L,2024-03-14,11,455
102,Arroz Blanco 1kg,2024-03-14,14,1136
103,Aceite Vegetal 900ml,2024-03-14,15,261
104,Pasta Penne 500g,2024-03-14,11,381
105,Café Molido 250g,2024-03-14,13,153
106,Detergente Líquido 3L,2024-03-14,7,90
107,Atún en Conserva 140g,2024-03-14,12,765
108,Huevos (Docena),2024-03-14,12,45
109,Harina de Trigo 1kg,2024-03-14,14,550
110,Papel Higiénico 4u,2024-03-14,5,341
101,Leche Entera 1L,2024-03-15,11,449
102,Arroz Blanco 1kg,2024-03-15,7,1127
103,Aceite Vegetal 900ml,2024-03-15,11,251
104,Pasta Penne 500g,2024-03-15,12,375
105,Café Molido 250g,2024-03-15,5,145
106,Detergente Líquido 3L,2024-03-15,12,88
107,Atún en Conserva 140g,2024-03-15,14,758
108,Huevos (Docena),2024-03-15,13,38
109,Harina de Trigo 1kg,2024-03-15,8,541
110,Papel Higiénico 4u,2024-03-15,8,341
101,Leche Entera 1L,2024-03-16,17,443
